ID,URL,Handle,BLM,Juneteenth,Money,Company Leader Statement
1273963090812567553,https://twitter.com/googleearth/status/1273963090812567553,googleearth,False,True,False,False
1276236625408856065,https://twitter.com/Google/status/1276236625408856065,Google,False,False,True,False
1276576626856259585,https://twitter.com/Google/status/1276576626856259585,Google,False,False,False,False
1277683822679777280,https://twitter.com/Google/status/1277683822679777280,Google,False,False,False,False
1280246082321203200,https://twitter.com/Google/status/1280246082321203200,Google,False,False,False,False
1274028192823721989,https://twitter.com/Cigna/status/1274028192823721989,Cigna,False,False,False,False
1274366922633752577,https://twitter.com/Cigna/status/1274366922633752577,Cigna,False,False,False,False
1275809930445041665,https://twitter.com/Cigna/status/1275809930445041665,Cigna,False,False,False,False
1275917887866318848,https://twitter.com/Cigna/status/1275917887866318848,Cigna,False,False,False,True
1276190948993761282,https://twitter.com/Cigna/status/1276190948993761282,Cigna,False,False,False,False
1276221142555115521,https://twitter.com/Cigna/status/1276221142555115521,Cigna,False,False,False,False
1278084564305481729,https://twitter.com/Cigna/status/1278084564305481729,Cigna,False,False,False,False
1268646319029137415,https://twitter.com/Cigna/status/1268646319029137415,Cigna,False,False,False,True
1268984687927705600,https://twitter.com/Chevron/status/1268984687927705600,Chevron,True,False,False,True
1266512772000559105,https://twitter.com/cardinalhealth/status/1266512772000559105,cardinalhealth,False,False,False,False
1274029088081162240,https://twitter.com/cardinalhealth/status/1274029088081162240,cardinalhealth,False,True,False,False
1268283423220588544,https://twitter.com/GM/status/1268283423220588544,GM,False,False,False,True
1269012310976352256,https://twitter.com/GM/status/1269012310976352256,GM,False,False,True,False
1274015588935962626,https://twitter.com/GM/status/1274015588935962626,GM,False,False,False,True
1275461066718433282,https://twitter.com/GM/status/1275461066718433282,GM,False,False,False,True
1267190003681177600,https://twitter.com/WalgreensNews/status/1267190003681177600,WalgreensNews,False,False,False,True
1269053513323216897,https://twitter.com/Walgreens/status/1269053513323216897,Walgreens,False,False,False,False
1273982657077141509,https://twitter.com/Walgreens/status/1273982657077141509,Walgreens,True,True,True,False
1267496167803367425,https://twitter.com/Verizon/status/1267496167803367425,Verizon,False,False,True,True
1267513397215666176,https://twitter.com/NAACP/status/1267513397215666176,NAACP,False,False,True,True
1267517388582420486,https://twitter.com/RevJJackson/status/1267517388582420486,RevJJackson,False,False,True,False
1267520038552166404,https://twitter.com/VerizonPolicy/status/1267520038552166404,VerizonPolicy,False,False,True,True
1267496957892673539,https://twitter.com/VerizonNews/status/1267496957892673539,VerizonNews,False,False,True,True
1267529629432242183,https://twitter.com/TheRevAl/status/1267529629432242183,TheRevAl,False,False,True,True
1267552753800433671,https://twitter.com/NatUrbanLeague/status/1267552753800433671,NatUrbanLeague,False,False,True,True
1267530754227154945,https://twitter.com/TheRevAl/status/1267530754227154945,TheRevAl,False,False,True,True
1267561651701780480,https://twitter.com/civilrightsorg/status/1267561651701780480,civilrightsorg,False,False,True,True
1267558303757996034,https://twitter.com/NCBCP/status/1267558303757996034,NCBCP,False,False,True,True
1267805222258294785,https://twitter.com/Verizon/status/1267805222258294785,Verizon,False,False,False,False
1283476676345765889,https://twitter.com/Verizon/status/1283476676345765889,Verizon,False,False,False,False
1283438680317861898,https://twitter.com/Verizon/status/1283438680317861898,Verizon,False,False,False,False
1283403704918593543,https://twitter.com/DigitalPromise/status/1283403704918593543,DigitalPromise,False,False,False,False
1283117666014830598,https://twitter.com/Verizon/status/1283117666014830598,Verizon,False,False,False,False
1283068368740810753,https://twitter.com/Verizon/status/1283068368740810753,Verizon,False,False,False,False
1282695670772707331,https://twitter.com/Verizon/status/1282695670772707331,Verizon,False,False,False,False
1280894447946010625,https://twitter.com/Verizon/status/1280894447946010625,Verizon,False,False,False,False
1280564119171559424,https://twitter.com/TamiErwinVZ/status/1280564119171559424,TamiErwinVZ,False,False,False,False
1280542593512886272,https://twitter.com/Verizon/status/1280542593512886272,Verizon,False,False,False,False
1280192977013440513,https://twitter.com/Verizon/status/1280192977013440513,Verizon,False,False,False,False
1279112961718734850,https://twitter.com/Verizon/status/1279112961718734850,Verizon,False,False,False,False
1278399440563376128,https://twitter.com/Verizon/status/1278399440563376128,Verizon,False,False,False,False
1277662894163988480,https://twitter.com/Verizon/status/1277662894163988480,Verizon,False,False,False,False
1276599131948138497,https://twitter.com/jnitti/status/1276599131948138497,jnitti,False,False,False,False
1274006542958964740,https://twitter.com/VZUpToSpeed/status/1274006542958964740,VZUpToSpeed,False,True,False,False
1273993975817519104,https://twitter.com/blackvoices/status/1273993975817519104,blackvoices,False,True,False,False
1273986624448126977,https://twitter.com/VZUpToSpeed/status/1273986624448126977,VZUpToSpeed,False,True,False,False
1273936700713119744,https://twitter.com/gurugk/status/1273936700713119744,gurugk,False,True,False,False
1273987489896726528,https://twitter.com/Verizon/status/1273987489896726528,Verizon,False,True,False,False
1272984335839383555,https://twitter.com/gurugk/status/1272984335839383555,gurugk,False,False,False,True
1272919488858664961,https://twitter.com/VZUpToSpeed/status/1272919488858664961,VZUpToSpeed,False,False,False,False
1272545367553380352,https://twitter.com/VerizonPolicy/status/1272545367553380352,VerizonPolicy,False,False,False,False
1272557281897582597,https://twitter.com/VZUpToSpeed/status/1272557281897582597,VZUpToSpeed,False,False,False,False
1271913516765777920,https://twitter.com/Verizon/status/1271913516765777920,Verizon,False,False,False,True
1271107540307279874,https://twitter.com/VZUpToSpeed/status/1271107540307279874,VZUpToSpeed,False,False,False,True
1270792814314483712,https://twitter.com/VZUpToSpeed/status/1270792814314483712,VZUpToSpeed,False,False,False,False
1270363847317045248,https://twitter.com/VZUpToSpeed/status/1270363847317045248,VZUpToSpeed,False,False,False,False
1268934480636416002,https://twitter.com/VZUpToSpeed/status/1268934480636416002,VZUpToSpeed,False,False,False,False
1268180756087463936,https://twitter.com/VZUpToSpeed/status/1268180756087463936,VZUpToSpeed,False,False,False,False
1267895471697248257,https://twitter.com/NAACP_LDF/status/1267895471697248257,NAACP_LDF,False,False,True,True
1267579781513691136,https://twitter.com/vztaccetta/status/1267579781513691136,vztaccetta,False,False,False,True
1267846028478369795,https://twitter.com/VZUpToSpeed/status/1267846028478369795,VZUpToSpeed,False,False,False,True
1276281517510217728,https://twitter.com/Microsoft/status/1276281517510217728,Microsoft,False,False,False,False
1275559253273608194,https://twitter.com/Microsoft/status/1275559253273608194,Microsoft,False,False,True,False
1274009901316976642,https://twitter.com/Microsoft/status/1274009901316976642,Microsoft,False,True,False,False
1273288014320603136,https://twitter.com/Microsoft/status/1273288014320603136,Microsoft,True,False,False,False
1272971292103213056,https://twitter.com/Microsoft/status/1272971292103213056,Microsoft,False,False,False,False
1272922633781329922,https://twitter.com/Microsoft/status/1272922633781329922,Microsoft,False,False,False,False
1272569132194693121,https://twitter.com/Microsoft/status/1272569132194693121,Microsoft,False,False,False,False
1271473082759348230,https://twitter.com/Microsoft/status/1271473082759348230,Microsoft,False,False,False,False
1271125040348700672,https://twitter.com/Microsoft/status/1271125040348700672,Microsoft,False,False,False,False
