Timestamp,Tweet url,Notes,Characteristics
7/16/2020 11:02:13,https://twitter.com/cvspharmacy/status/1280876689753432065,,"Money donated, Formal company release"
7/16/2020 11:02:47,https://twitter.com/cvspharmacy/status/1271467972360572928,,"Image with text, Formal company release"
7/16/2020 11:03:30,https://twitter.com/cvspharmacy/status/1267507514247168000,,"Formal company release, Statement from company head"
7/16/2020 11:03:55,https://twitter.com/UnitedHealthGrp/status/1267794235601928193,,"Money donated, Formal company release"
7/16/2020 11:05:02,https://twitter.com/StarTribune/status/1267632274016780288,Retweet of press coverage of money donated,Money donated
7/16/2020 11:05:40,https://twitter.com/McKesson/status/1273993996155727873,,Juneteenth
7/16/2020 11:06:21,https://twitter.com/McKesson/status/1267546491494838277,,Statement from company head
7/16/2020 11:07:35,https://twitter.com/ATT/status/1271560467874328576,,"Image with text, Pinned, ""Black Lives Matter"""
7/16/2020 11:08:49,https://twitter.com/ATT/status/1267195460143513606,,Image with text
7/16/2020 11:09:16,https://twitter.com/ATT/status/1267842530994843648,,
7/16/2020 11:09:50,https://twitter.com/ATT/status/1268368361781485568,,Image with text
7/16/2020 11:10:28,https://twitter.com/ATT/status/1268368808336449536,,Image with text
7/16/2020 11:10:40,https://twitter.com/ATT/status/1268653794297909248,,
7/16/2020 11:10:49,https://twitter.com/ATT/status/1268654427105189892,,
7/16/2020 11:10:58,https://twitter.com/ATT/status/1269009802522288134,,
7/16/2020 11:11:09,https://twitter.com/ATT/status/1269014968764002305,,
7/16/2020 11:11:20,https://twitter.com/ATT/status/1269374019716800512,,
7/16/2020 11:11:30,https://twitter.com/ATT/status/1269389639032270849,,
7/16/2020 11:11:39,https://twitter.com/ATT/status/1269691113725497345,,
7/16/2020 11:11:47,https://twitter.com/ATT/status/1269706252730302464,,
7/16/2020 11:11:57,https://twitter.com/ATT/status/1270161433028788225,,
7/16/2020 11:12:06,https://twitter.com/ATT/status/1270168677120278528,,
7/16/2020 11:12:19,https://twitter.com/ATT/status/1270469205838622720,,
7/16/2020 11:12:27,https://twitter.com/ATT/status/1270482803134611458,,
7/16/2020 11:12:37,https://twitter.com/ATT/status/1270785922129264640,,
7/16/2020 11:12:46,https://twitter.com/ATT/status/1270795511646138368,,
7/16/2020 11:12:55,https://twitter.com/ATT/status/1270883938496471042,,
7/16/2020 11:13:05,https://twitter.com/ATT/status/1270890845537832960,,
7/16/2020 11:13:14,https://twitter.com/ATT/status/1271216067960954880,,
7/16/2020 11:13:23,https://twitter.com/ATT/status/1271223668366925824,,
7/16/2020 11:13:30,https://twitter.com/ATT/status/1271516409370009600,,
7/16/2020 11:15:14,https://twitter.com/attJOBS/status/1271434825409363969,,
7/16/2020 11:15:32,https://twitter.com/ATT/status/1271525743193817088,,
7/16/2020 11:15:41,https://twitter.com/ATT/status/1272227307781009408,,
7/16/2020 11:15:49,https://twitter.com/ATT/status/1272645984430874625,,
7/16/2020 11:15:58,https://twitter.com/ATT/status/1272657553457942532,,
7/16/2020 11:17:40,https://twitter.com/ATTNEWS/status/1272939930742935557,,"Formal company release, Statement from company head"
7/16/2020 11:17:49,https://twitter.com/ATT/status/1273011824200302592,,
7/16/2020 11:17:57,https://twitter.com/ATT/status/1273027691717914625,,
7/16/2020 11:18:06,https://twitter.com/ATT/status/1273360032411709441,,
7/16/2020 11:18:16,https://twitter.com/ATT/status/1273375844241555456,,
7/16/2020 11:19:02,https://twitter.com/ATT/status/1273680452679634945,"""We're loving this message"" @ artwork that says ""Black lives matter"" is arguably explicit support","""Black Lives Matter"""
7/16/2020 11:19:23,https://twitter.com/ATT/status/1273764187227840514,,
7/16/2020 11:19:33,https://twitter.com/ATT/status/1273806984278495232,,
7/16/2020 11:20:02,https://twitter.com/ATT/status/1274026385359515648,Campaign,Formal company release
7/16/2020 11:20:13,https://twitter.com/ATT/status/1274046474184093696,,Juneteenth
7/16/2020 11:20:21,https://twitter.com/ATT/status/1274054191422377984,,Juneteenth
7/16/2020 11:20:30,https://twitter.com/ATT/status/1274083798594973696,,Juneteenth
7/16/2020 11:20:40,https://twitter.com/ATT/status/1274092214952398849,,Juneteenth
7/16/2020 11:20:55,https://twitter.com/WarnerMedia/status/1273973381512060929,,Juneteenth
7/16/2020 11:21:13,https://twitter.com/WarnerMedia/status/1274007630495862784,,
7/16/2020 11:21:23,https://twitter.com/ATT/status/1274190328048701440,,Juneteenth
7/16/2020 11:21:33,https://twitter.com/ATT/status/1274401634081296384,,
7/16/2020 11:21:45,https://twitter.com/ATT/status/1274416764886175745,,
7/16/2020 11:21:57,https://twitter.com/ATT/status/1274779121776766977,,
7/16/2020 11:22:05,https://twitter.com/ATT/status/1274823569675976705,,
7/16/2020 11:22:13,https://twitter.com/ATT/status/1275118860371480576,,
7/16/2020 11:22:21,https://twitter.com/ATT/status/1275134008201031680,,
7/16/2020 11:22:32,https://twitter.com/ATT/status/1275517933918187520,,
7/16/2020 11:22:42,https://twitter.com/ATT/status/1275551475381334016,,
7/16/2020 11:22:50,https://twitter.com/ATT/status/1276261015487868928,,
7/16/2020 11:23:02,https://twitter.com/ATT/status/1276274081843818498,,
7/16/2020 11:23:16,https://twitter.com/ATT/status/1276591069598232578,,
7/16/2020 11:23:25,https://twitter.com/ATT/status/1276598661879906304,,
7/16/2020 11:23:35,https://twitter.com/ATT/status/1277027325742202881,,
7/16/2020 11:23:45,https://twitter.com/ATT/status/1277693764232855552,,
7/16/2020 11:23:54,https://twitter.com/ATT/status/1277980219756826624,,
7/16/2020 11:24:03,https://twitter.com/ATT/status/1278346215889960960,,
