ID,URL,Handle,BLM,Juneteenth,Money,Formal Statement
1268689473421926401,https://twitter.com/ProcterGamble/status/1268689473421926401,ProcterGamble,FALSE,FALSE,FALSE,FALSE
1268682340131385348,https://twitter.com/ProcterGamble/status/1268682340131385348,ProcterGamble,FALSE,FALSE,FALSE,FALSE
1268678712624582656,https://twitter.com/ProcterGamble/status/1268678712624582656,ProcterGamble,FALSE,FALSE,FALSE,FALSE
1268637706810265602,https://twitter.com/BarrettCinciBiz/status/1268637706810265602,BarrettCinciBiz,FALSE,FALSE,TRUE,FALSE
1268205108002787330,https://twitter.com/Bounty/status/1268205108002787330,Bounty,FALSE,FALSE,TRUE,FALSE
1268208008552742917,https://twitter.com/RealMrClean/status/1268208008552742917,RealMrClean,FALSE,FALSE,TRUE,FALSE
1268618560714096642,https://twitter.com/ProcterGamble/status/1268618560714096642,ProcterGamble,FALSE,FALSE,FALSE,FALSE
1268562701502091264,https://twitter.com/ProcterGamble/status/1268562701502091264,ProcterGamble,FALSE,FALSE,FALSE,FALSE
1268175779709452290,https://twitter.com/Tampax/status/1268175779709452290,Tampax,FALSE,FALSE,TRUE,FALSE
1268535510894600195,https://twitter.com/ProcterGamble/status/1268535510894600195,ProcterGamble,FALSE,FALSE,FALSE,FALSE
1268205704986451968,https://twitter.com/Puffs/status/1268205704986451968,Puffs,FALSE,FALSE,TRUE,FALSE
1268202687826362374,https://twitter.com/tide/status/1268202687826362374,tide,FALSE,FALSE,TRUE,FALSE
1268200682697437185,https://twitter.com/Pantene/status/1268200682697437185,Pantene,TRUE,FALSE,TRUE,FALSE
1268216006708731904,https://twitter.com/tristanwalker/status/1268216006708731904,tristanwalker,FALSE,FALSE,TRUE,FALSE
1268181144844898305,https://twitter.com/OlaySkin/status/1268181144844898305,OlaySkin,TRUE,FALSE,TRUE,FALSE
1268201101477675009,https://twitter.com/SecretDeodorant/status/1268201101477675009,SecretDeodorant,FALSE,FALSE,TRUE,FALSE
1268172006026969088,https://twitter.com/OldSpice/status/1268172006026969088,OldSpice,TRUE,FALSE,TRUE,FALSE
1268168868561850369,https://twitter.com/ProcterGamble/status/1268168868561850369,ProcterGamble,FALSE,FALSE,TRUE,FALSE
1267534453636837379,https://twitter.com/ProcterGamble/status/1267534453636837379,ProcterGamble,FALSE,FALSE,FALSE,TRUE
1266521779260084224,https://twitter.com/MBIB/status/1266521779260084224,MBIB,TRUE,FALSE,FALSE,FALSE
1282635965660573697,https://twitter.com/PepsiCo/status/1282635965660573697,PepsiCo,FALSE,FALSE,TRUE,FALSE
1272991496392847361,https://twitter.com/PepsiCo/status/1272991496392847361,PepsiCo,FALSE,FALSE,TRUE,FALSE
1267462777611915265,https://twitter.com/ramonlaguarta/status/1267462777611915265,ramonlaguarta,FALSE,FALSE,FALSE,TRUE
1278443263276593153,https://twitter.com/MorganStanley/status/1278443263276593153,MorganStanley,FALSE,FALSE,TRUE,FALSE
1280239448266100737,https://twitter.com/MorganStanley/status/1280239448266100737,MorganStanley,FALSE,FALSE,FALSE,FALSE
1277716915515949064,https://twitter.com/MorganStanley/status/1277716915515949064,MorganStanley,FALSE,FALSE,FALSE,TRUE
1277357695729893378,https://twitter.com/MorganStanley/status/1277357695729893378,MorganStanley,FALSE,FALSE,FALSE,FALSE
1270738977830637570,https://twitter.com/MorganStanley/status/1270738977830637570,MorganStanley,FALSE,FALSE,TRUE,FALSE
1268720742398603265,https://twitter.com/MorganStanley/status/1268720742398603265,MorganStanley,FALSE,FALSE,TRUE,TRUE
1268598615691481089,https://twitter.com/CaterpillarInc/status/1268598615691481089,CaterpillarInc,FALSE,FALSE,FALSE,TRUE
1281030333799022593,https://twitter.com/FortuneMagazine/status/1281030333799022593,FortuneMagazine,FALSE,FALSE,FALSE,FALSE
1280126350700040192,https://twitter.com/Cisco/status/1280126350700040192,Cisco,FALSE,FALSE,FALSE,FALSE
1273965685572395020,https://twitter.com/ChuckRobbins/status/1273965685572395020,ChuckRobbins,FALSE,TRUE,FALSE,TRUE
1273271184088588295,https://twitter.com/Cisco/status/1273271184088588295,Cisco,FALSE,FALSE,TRUE,TRUE
1270747557426343943,https://twitter.com/CiscoCanada/status/1270747557426343943,CiscoCanada,FALSE,FALSE,FALSE,TRUE
1270447574655401988,https://twitter.com/Cisco/status/1270447574655401988,Cisco,FALSE,FALSE,FALSE,FALSE
1267639652686708737,https://twitter.com/Cisco/status/1267639652686708737,Cisco,FALSE,FALSE,FALSE,TRUE
1267547077892026375,https://twitter.com/Cisco/status/1267547077892026375,Cisco,TRUE,FALSE,TRUE,TRUE
1284110613850054656,https://twitter.com/pfizer/status/1284110613850054656,pfizer,TRUE,FALSE,FALSE,TRUE
1275121814361059328,https://twitter.com/pfizer/status/1275121814361059328,pfizer,FALSE,FALSE,TRUE,TRUE
1267545112663461894,https://twitter.com/pfizer/status/1267545112663461894,pfizer,FALSE,FALSE,FALSE,TRUE
1267562351773003780,https://twitter.com/AIGinsurance/status/1267562351773003780,AIGinsurance,FALSE,FALSE,TRUE,TRUE
1268216236644749317,https://twitter.com/AmericanExpress/status/1268216236644749317,AmericanExpress,FALSE,FALSE,TRUE,TRUE
1278797388325535744,https://twitter.com/Merck/status/1278797388325535744,Merck,FALSE,FALSE,FALSE,FALSE
1273965419586609154,https://twitter.com/Merck/status/1273965419586609154,Merck,FALSE,TRUE,FALSE,FALSE
1267866350271246338,https://twitter.com/Merck/status/1267866350271246338,Merck,FALSE,FALSE,FALSE,TRUE
1270008298180349956,https://twitter.com/AmericanAir/status/1270008298180349956,AmericanAir,FALSE,FALSE,FALSE,FALSE
1267875242652958721,https://twitter.com/AmericanAir/status/1267875242652958721,AmericanAir,FALSE,FALSE,FALSE,FALSE
1273616459177111553,https://twitter.com/Allstate/status/1273616459177111553,Allstate,FALSE,TRUE,FALSE,FALSE
1277639212603445249,https://twitter.com/Nationwide/status/1277639212603445249,Nationwide,FALSE,FALSE,TRUE,FALSE
1276223315187830786,https://twitter.com/Nationwide/status/1276223315187830786,Nationwide,FALSE,FALSE,FALSE,FALSE
1272639704039591936,https://twitter.com/Nationwide/status/1272639704039591936,Nationwide,FALSE,FALSE,TRUE,FALSE
1271456452914352128,https://twitter.com/Nationwide/status/1271456452914352128,Nationwide,FALSE,FALSE,TRUE,TRUE
